F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2354.000000	100000.000000	-70.450000
200000.000000	1422.000000	200000.000000	-58.370000
300000.000000	1151.000000	300000.000000	-51.850000
400000.000000	843.600000	400000.000000	-58.010000
500000.000000	795.400000	500000.000000	-56.550000
600000.000000	758.200000	600000.000000	-56.640000
700000.000000	726.300000	700000.000000	-56.680000
800000.000000	692.700000	800000.000000	-56.710000
900000.000000	661.400000	900000.000000	-58.190000
1000000.000000	635.400000	1000000.000000	-58.720000
1100000.000000	611.500000	1100000.000000	-59.440000
1200000.000000	587.300000	1200000.000000	-60.130000
1300000.000000	562.600000	1300000.000000	-61.550000
1400000.000000	541.600000	1400000.000000	-61.970000
1500000.000000	526.400000	1500000.000000	-62.290000
1600000.000000	507.900000	1600000.000000	-63.270000
1700000.000000	492.200000	1700000.000000	-63.560000
1800000.000000	478.200000	1800000.000000	-64.110000
1900000.000000	461.800000	1900000.000000	-64.970000
2000000.000000	446.900000	2000000.000000	-65.570000
2100000.000000	452.100000	2100000.000000	-65.810000
2200000.000000	436.600000	2200000.000000	-66.630000
2300000.000000	422.200000	2300000.000000	-67.270000
2400000.000000	408.000000	2400000.000000	-68.040000
2500000.000000	395.500000	2500000.000000	-68.560000
2600000.000000	382.800000	2600000.000000	-69.210000
2700000.000000	371.500000	2700000.000000	-69.750000
2800000.000000	360.700000	2800000.000000	-70.290000
2900000.000000	350.600000	2900000.000000	-70.840000
3000000.000000	340.800000	3000000.000000	-71.340000
3100000.000000	330.100000	3100000.000000	-72.050000
3200000.000000	320.300000	3200000.000000	-72.370000
3300000.000000	311.200000	3300000.000000	-72.620000
3400000.000000	303.100000	3400000.000000	-72.880000
3500000.000000	295.500000	3500000.000000	-73.160000
3600000.000000	288.200000	3600000.000000	-73.430000
3700000.000000	281.100000	3700000.000000	-73.720000
3800000.000000	274.400000	3800000.000000	-73.990000
3900000.000000	267.900000	3900000.000000	-74.260000
4000000.000000	262.000000	4000000.000000	-74.440000
4100000.000000	255.800000	4100000.000000	-74.710000
4200000.000000	250.800000	4200000.000000	-74.850000
4300000.000000	245.100000	4300000.000000	-75.120000
4400000.000000	239.700000	4400000.000000	-75.330000
4500000.000000	235.000000	4500000.000000	-75.490000
4600000.000000	230.100000	4600000.000000	-75.680000
4700000.000000	225.300000	4700000.000000	-75.860000
4800000.000000	221.200000	4800000.000000	-76.010000
4900000.000000	216.700000	4900000.000000	-76.160000
5000000.000000	212.400000	5000000.000000	-76.330000
5100000.000000	208.200000	5100000.000000	-76.480000
5200000.000000	204.500000	5200000.000000	-76.610000
5300000.000000	200.500000	5300000.000000	-76.760000
5400000.000000	197.000000	5400000.000000	-76.880000
5500000.000000	193.300000	5500000.000000	-77.020000
5600000.000000	190.100000	5600000.000000	-77.120000
5700000.000000	186.800000	5700000.000000	-77.220000
5800000.000000	183.400000	5800000.000000	-77.350000
5900000.000000	180.500000	5900000.000000	-77.410000
6000000.000000	177.600000	6000000.000000	-77.490000
6100000.000000	174.700000	6100000.000000	-77.550000
6200000.000000	171.800000	6200000.000000	-77.690000
6300000.000000	170.600000	6300000.000000	-77.590000
6400000.000000	167.800000	6400000.000000	-77.690000
6500000.000000	165.200000	6500000.000000	-77.790000
6600000.000000	162.600000	6600000.000000	-77.860000
6700000.000000	160.100000	6700000.000000	-77.940000
6800000.000000	157.600000	6800000.000000	-78.030000
6900000.000000	155.200000	6900000.000000	-78.090000
7000000.000000	153.400000	7000000.000000	-78.090000
7100000.000000	151.200000	7100000.000000	-78.150000
7200000.000000	149.000000	7200000.000000	-78.210000
7300000.000000	146.900000	7300000.000000	-78.260000
7400000.000000	144.800000	7400000.000000	-78.320000
7500000.000000	142.800000	7500000.000000	-78.370000
7600000.000000	140.900000	7600000.000000	-78.410000
7700000.000000	139.000000	7700000.000000	-78.460000
7800000.000000	137.100000	7800000.000000	-78.500000
7900000.000000	135.300000	7900000.000000	-78.540000
8000000.000000	133.500000	8000000.000000	-78.580000
8100000.000000	131.700000	8100000.000000	-78.610000
8200000.000000	130.000000	8200000.000000	-78.650000
8300000.000000	128.300000	8300000.000000	-78.680000
8400000.000000	126.700000	8400000.000000	-78.710000
8500000.000000	125.100000	8500000.000000	-78.740000
8600000.000000	123.600000	8600000.000000	-78.770000
8700000.000000	122.000000	8700000.000000	-78.810000
8800000.000000	120.500000	8800000.000000	-78.840000
8900000.000000	119.100000	8900000.000000	-78.880000
9000000.000000	117.600000	9000000.000000	-78.920000
9100000.000000	116.200000	9100000.000000	-78.950000
9200000.000000	114.700000	9200000.000000	-78.980000
9300000.000000	113.300000	9300000.000000	-78.990000
9400000.000000	111.900000	9400000.000000	-78.990000
9500000.000000	110.600000	9500000.000000	-78.990000
9600000.000000	109.310000	9600000.000000	-78.990000
9700000.000000	108.040000	9700000.000000	-78.990000
9800000.000000	106.790000	9800000.000000	-78.990000
9900000.000000	105.560000	9900000.000000	-78.990000
1.000000E+7	104.370000	1.000000E+7	-79.000000
