F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2364.000000	100000.000000	-70.690000
200000.000000	1425.000000	200000.000000	-58.740000
300000.000000	1151.000000	300000.000000	-52.310000
400000.000000	844.800000	400000.000000	-57.760000
500000.000000	791.400000	500000.000000	-57.320000
600000.000000	752.200000	600000.000000	-57.490000
700000.000000	720.600000	700000.000000	-57.220000
800000.000000	686.600000	800000.000000	-57.680000
900000.000000	659.800000	900000.000000	-58.260000
1000000.000000	631.800000	1000000.000000	-59.210000
1100000.000000	605.700000	1100000.000000	-60.100000
1200000.000000	580.300000	1200000.000000	-60.830000
1300000.000000	561.300000	1300000.000000	-61.780000
1400000.000000	539.900000	1400000.000000	-62.400000
1500000.000000	522.500000	1500000.000000	-63.060000
1600000.000000	503.600000	1600000.000000	-63.710000
1700000.000000	488.200000	1700000.000000	-64.200000
1800000.000000	471.400000	1800000.000000	-65.010000
1900000.000000	457.500000	1900000.000000	-65.420000
2000000.000000	442.400000	2000000.000000	-66.140000
2100000.000000	445.700000	2100000.000000	-66.560000
2200000.000000	430.500000	2200000.000000	-67.360000
2300000.000000	415.000000	2300000.000000	-68.210000
2400000.000000	401.400000	2400000.000000	-68.840000
2500000.000000	388.900000	2500000.000000	-69.380000
2600000.000000	376.200000	2600000.000000	-70.080000
2700000.000000	365.100000	2700000.000000	-70.650000
2800000.000000	354.100000	2800000.000000	-71.210000
2900000.000000	344.000000	2900000.000000	-71.760000
3000000.000000	334.000000	3000000.000000	-72.360000
3100000.000000	324.200000	3100000.000000	-72.910000
3200000.000000	314.200000	3200000.000000	-73.290000
3300000.000000	305.000000	3300000.000000	-73.540000
3400000.000000	296.800000	3400000.000000	-73.800000
3500000.000000	289.300000	3500000.000000	-74.070000
3600000.000000	281.900000	3600000.000000	-74.380000
3700000.000000	275.100000	3700000.000000	-74.620000
3800000.000000	268.900000	3800000.000000	-74.850000
3900000.000000	262.400000	3900000.000000	-75.130000
4000000.000000	256.000000	4000000.000000	-75.420000
4100000.000000	250.200000	4100000.000000	-75.690000
4200000.000000	244.800000	4200000.000000	-75.880000
4300000.000000	239.400000	4300000.000000	-76.100000
4400000.000000	234.400000	4400000.000000	-76.280000
4500000.000000	229.400000	4500000.000000	-76.480000
4600000.000000	224.500000	4600000.000000	-76.690000
4700000.000000	220.200000	4700000.000000	-76.850000
4800000.000000	215.500000	4800000.000000	-77.060000
4900000.000000	211.500000	4900000.000000	-77.210000
5000000.000000	207.400000	5000000.000000	-77.350000
5100000.000000	203.200000	5100000.000000	-77.550000
5200000.000000	199.400000	5200000.000000	-77.680000
5300000.000000	195.600000	5300000.000000	-77.810000
5400000.000000	192.200000	5400000.000000	-77.950000
5500000.000000	188.500000	5500000.000000	-78.090000
5600000.000000	185.300000	5600000.000000	-78.210000
5700000.000000	182.000000	5700000.000000	-78.320000
5800000.000000	178.700000	5800000.000000	-78.430000
5900000.000000	175.700000	5900000.000000	-78.530000
6000000.000000	172.800000	6000000.000000	-78.630000
6100000.000000	169.800000	6100000.000000	-78.740000
6200000.000000	166.900000	6200000.000000	-78.830000
6300000.000000	165.600000	6300000.000000	-78.780000
6400000.000000	163.000000	6400000.000000	-78.870000
6500000.000000	160.300000	6500000.000000	-78.980000
6600000.000000	157.700000	6600000.000000	-79.070000
6700000.000000	155.300000	6700000.000000	-79.150000
6800000.000000	152.900000	6800000.000000	-79.250000
6900000.000000	151.000000	6900000.000000	-79.260000
7000000.000000	148.800000	7000000.000000	-79.330000
7100000.000000	146.500000	7100000.000000	-79.400000
7200000.000000	144.400000	7200000.000000	-79.460000
7300000.000000	142.300000	7300000.000000	-79.530000
7400000.000000	140.300000	7400000.000000	-79.590000
7500000.000000	138.300000	7500000.000000	-79.650000
7600000.000000	136.300000	7600000.000000	-79.710000
7700000.000000	134.400000	7700000.000000	-79.760000
7800000.000000	132.600000	7800000.000000	-79.810000
7900000.000000	130.800000	7900000.000000	-79.860000
8000000.000000	129.000000	8000000.000000	-79.910000
8100000.000000	127.300000	8100000.000000	-79.950000
8200000.000000	125.600000	8200000.000000	-80.000000
8300000.000000	123.900000	8300000.000000	-80.040000
8400000.000000	122.300000	8400000.000000	-80.070000
8500000.000000	120.700000	8500000.000000	-80.110000
8600000.000000	119.200000	8600000.000000	-80.150000
8700000.000000	117.700000	8700000.000000	-80.200000
8800000.000000	116.200000	8800000.000000	-80.240000
8900000.000000	114.700000	8900000.000000	-80.280000
9000000.000000	113.300000	9000000.000000	-80.320000
9100000.000000	111.800000	9100000.000000	-80.370000
9200000.000000	110.400000	9200000.000000	-80.400000
9300000.000000	109.010000	9300000.000000	-80.420000
9400000.000000	107.660000	9400000.000000	-80.430000
9500000.000000	106.340000	9500000.000000	-80.440000
9600000.000000	105.060000	9600000.000000	-80.450000
9700000.000000	103.800000	9700000.000000	-80.460000
9800000.000000	102.560000	9800000.000000	-80.470000
9900000.000000	101.340000	9900000.000000	-80.480000
1.000000E+7	100.160000	1.000000E+7	-80.490000
