F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2551.000000	100000.000000	-68.630000
200000.000000	1582.000000	200000.000000	-56.390000
300000.000000	1300.000000	300000.000000	-50.510000
400000.000000	1161.000000	400000.000000	-48.120000
500000.000000	885.300000	500000.000000	-57.780000
600000.000000	839.000000	600000.000000	-57.590000
700000.000000	800.500000	700000.000000	-57.490000
800000.000000	765.700000	800000.000000	-57.920000
900000.000000	726.700000	900000.000000	-58.550000
1000000.000000	695.200000	1000000.000000	-59.580000
1100000.000000	665.800000	1100000.000000	-60.230000
1200000.000000	640.900000	1200000.000000	-60.800000
1300000.000000	616.700000	1300000.000000	-61.150000
1400000.000000	597.400000	1400000.000000	-61.780000
1500000.000000	570.100000	1500000.000000	-63.270000
1600000.000000	550.400000	1600000.000000	-63.530000
1700000.000000	530.600000	1700000.000000	-64.230000
1800000.000000	518.200000	1800000.000000	-64.550000
1900000.000000	502.800000	1900000.000000	-64.840000
2000000.000000	488.900000	2000000.000000	-65.160000
2100000.000000	505.300000	2100000.000000	-64.350000
2200000.000000	488.800000	2200000.000000	-65.070000
2300000.000000	473.800000	2300000.000000	-65.660000
2400000.000000	459.300000	2400000.000000	-66.300000
2500000.000000	444.900000	2500000.000000	-67.100000
2600000.000000	433.400000	2600000.000000	-67.480000
2700000.000000	419.800000	2700000.000000	-68.270000
2800000.000000	408.700000	2800000.000000	-68.870000
2900000.000000	398.200000	2900000.000000	-69.470000
3000000.000000	387.400000	3000000.000000	-70.170000
3100000.000000	375.400000	3100000.000000	-70.920000
3200000.000000	364.100000	3200000.000000	-71.210000
3300000.000000	353.700000	3300000.000000	-71.350000
3400000.000000	345.100000	3400000.000000	-71.520000
3500000.000000	337.000000	3500000.000000	-71.780000
3600000.000000	329.100000	3600000.000000	-72.100000
3700000.000000	321.700000	3700000.000000	-72.390000
3800000.000000	315.000000	3800000.000000	-72.580000
3900000.000000	308.100000	3900000.000000	-72.890000
4000000.000000	301.000000	4000000.000000	-73.200000
4100000.000000	294.600000	4100000.000000	-73.460000
4200000.000000	289.300000	4200000.000000	-73.620000
4300000.000000	283.600000	4300000.000000	-73.840000
4400000.000000	277.100000	4400000.000000	-74.200000
4500000.000000	271.800000	4500000.000000	-74.380000
4600000.000000	266.800000	4600000.000000	-74.570000
4700000.000000	261.800000	4700000.000000	-74.780000
4800000.000000	256.800000	4800000.000000	-74.970000
4900000.000000	251.900000	4900000.000000	-75.200000
5000000.000000	247.900000	5000000.000000	-75.350000
5100000.000000	243.200000	5100000.000000	-75.570000
5200000.000000	238.600000	5200000.000000	-75.760000
5300000.000000	234.600000	5300000.000000	-75.920000
5400000.000000	230.900000	5400000.000000	-76.110000
5500000.000000	227.100000	5500000.000000	-76.280000
5600000.000000	223.100000	5600000.000000	-76.450000
5700000.000000	219.200000	5700000.000000	-76.610000
5800000.000000	216.000000	5800000.000000	-76.710000
5900000.000000	212.300000	5900000.000000	-76.910000
6000000.000000	209.100000	6000000.000000	-77.080000
6100000.000000	205.800000	6100000.000000	-77.200000
6200000.000000	202.700000	6200000.000000	-77.300000
6300000.000000	201.700000	6300000.000000	-77.320000
6400000.000000	198.600000	6400000.000000	-77.450000
6500000.000000	195.600000	6500000.000000	-77.600000
6600000.000000	192.600000	6600000.000000	-77.730000
6700000.000000	189.800000	6700000.000000	-77.880000
6800000.000000	187.100000	6800000.000000	-77.980000
6900000.000000	184.400000	6900000.000000	-78.130000
7000000.000000	181.900000	7000000.000000	-78.270000
7100000.000000	179.300000	7100000.000000	-78.370000
7200000.000000	176.600000	7200000.000000	-78.500000
7300000.000000	174.400000	7300000.000000	-78.580000
7400000.000000	171.900000	7400000.000000	-78.710000
7500000.000000	169.700000	7500000.000000	-78.820000
7600000.000000	167.400000	7600000.000000	-78.930000
7700000.000000	165.200000	7700000.000000	-79.030000
7800000.000000	163.000000	7800000.000000	-79.140000
7900000.000000	161.700000	7900000.000000	-79.160000
8000000.000000	159.600000	8000000.000000	-79.260000
8100000.000000	157.600000	8100000.000000	-79.360000
8200000.000000	155.700000	8200000.000000	-79.450000
8300000.000000	153.700000	8300000.000000	-79.540000
8400000.000000	151.900000	8400000.000000	-79.640000
8500000.000000	150.100000	8500000.000000	-79.730000
8600000.000000	148.300000	8600000.000000	-79.830000
8700000.000000	146.500000	8700000.000000	-79.930000
8800000.000000	144.800000	8800000.000000	-80.040000
8900000.000000	143.100000	8900000.000000	-80.160000
9000000.000000	141.400000	9000000.000000	-80.290000
9100000.000000	139.600000	9100000.000000	-80.420000
9200000.000000	137.900000	9200000.000000	-80.530000
9300000.000000	136.100000	9300000.000000	-80.600000
9400000.000000	134.400000	9400000.000000	-80.640000
9500000.000000	132.800000	9500000.000000	-80.660000
9600000.000000	131.200000	9600000.000000	-80.690000
9700000.000000	129.800000	9700000.000000	-80.730000
9800000.000000	128.300000	9800000.000000	-80.780000
9900000.000000	126.900000	9900000.000000	-80.820000
1.000000E+7	125.500000	1.000000E+7	-80.870000
