F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2362.000000	100000.000000	-70.300000
200000.000000	1431.000000	200000.000000	-58.170000
300000.000000	1159.000000	300000.000000	-51.700000
400000.000000	848.600000	400000.000000	-58.090000
500000.000000	805.700000	500000.000000	-56.600000
600000.000000	763.800000	600000.000000	-56.410000
700000.000000	732.800000	700000.000000	-56.250000
800000.000000	696.300000	800000.000000	-57.370000
900000.000000	665.700000	900000.000000	-58.130000
1000000.000000	638.600000	1000000.000000	-58.740000
1100000.000000	614.500000	1100000.000000	-59.450000
1200000.000000	589.700000	1200000.000000	-60.260000
1300000.000000	564.900000	1300000.000000	-61.420000
1400000.000000	549.400000	1400000.000000	-62.140000
1500000.000000	526.800000	1500000.000000	-62.870000
1600000.000000	510.100000	1600000.000000	-63.020000
1700000.000000	492.300000	1700000.000000	-63.940000
1800000.000000	477.900000	1800000.000000	-64.080000
1900000.000000	463.900000	1900000.000000	-64.390000
2000000.000000	449.200000	2000000.000000	-65.140000
2100000.000000	455.000000	2100000.000000	-65.290000
2200000.000000	438.500000	2200000.000000	-66.220000
2300000.000000	423.700000	2300000.000000	-66.900000
2400000.000000	410.300000	2400000.000000	-67.490000
2500000.000000	397.500000	2500000.000000	-68.070000
2600000.000000	385.300000	2600000.000000	-68.650000
2700000.000000	374.300000	2700000.000000	-69.090000
2800000.000000	363.600000	2800000.000000	-69.630000
2900000.000000	352.600000	2900000.000000	-70.240000
3000000.000000	343.000000	3000000.000000	-70.810000
3100000.000000	333.200000	3100000.000000	-71.380000
3200000.000000	322.600000	3200000.000000	-71.780000
3300000.000000	313.100000	3300000.000000	-71.990000
3400000.000000	304.700000	3400000.000000	-72.190000
3500000.000000	297.000000	3500000.000000	-72.460000
3600000.000000	290.200000	3600000.000000	-72.590000
3700000.000000	283.100000	3700000.000000	-72.890000
3800000.000000	276.700000	3800000.000000	-73.070000
3900000.000000	270.200000	3900000.000000	-73.320000
4000000.000000	264.100000	4000000.000000	-73.530000
4100000.000000	258.300000	4100000.000000	-73.760000
4200000.000000	252.900000	4200000.000000	-73.900000
4300000.000000	247.300000	4300000.000000	-74.130000
4400000.000000	242.000000	4400000.000000	-74.310000
4500000.000000	237.100000	4500000.000000	-74.510000
4600000.000000	232.700000	4600000.000000	-74.590000
4700000.000000	228.100000	4700000.000000	-74.770000
4800000.000000	223.500000	4800000.000000	-74.940000
4900000.000000	219.400000	4900000.000000	-75.070000
5000000.000000	215.000000	5000000.000000	-75.200000
5100000.000000	211.200000	5100000.000000	-75.310000
5200000.000000	207.300000	5200000.000000	-75.460000
5300000.000000	203.600000	5300000.000000	-75.560000
5400000.000000	199.800000	5400000.000000	-75.660000
5500000.000000	196.400000	5500000.000000	-75.780000
5600000.000000	193.000000	5600000.000000	-75.860000
5700000.000000	189.700000	5700000.000000	-75.980000
5800000.000000	186.700000	5800000.000000	-76.040000
5900000.000000	183.600000	5900000.000000	-76.110000
6000000.000000	180.700000	6000000.000000	-76.200000
6100000.000000	177.800000	6100000.000000	-76.300000
6200000.000000	175.000000	6200000.000000	-76.350000
6300000.000000	173.800000	6300000.000000	-76.280000
6400000.000000	171.300000	6400000.000000	-76.350000
6500000.000000	168.700000	6500000.000000	-76.410000
6600000.000000	166.000000	6600000.000000	-76.500000
6700000.000000	163.600000	6700000.000000	-76.590000
6800000.000000	161.200000	6800000.000000	-76.630000
6900000.000000	158.800000	6900000.000000	-76.710000
7000000.000000	156.500000	7000000.000000	-76.770000
7100000.000000	154.900000	7100000.000000	-76.750000
7200000.000000	152.700000	7200000.000000	-76.800000
7300000.000000	150.700000	7300000.000000	-76.850000
7400000.000000	148.600000	7400000.000000	-76.900000
7500000.000000	146.600000	7500000.000000	-76.940000
7600000.000000	144.700000	7600000.000000	-76.980000
7700000.000000	142.800000	7700000.000000	-77.020000
7800000.000000	140.900000	7800000.000000	-77.060000
7900000.000000	139.100000	7900000.000000	-77.090000
8000000.000000	137.400000	8000000.000000	-77.130000
8100000.000000	135.700000	8100000.000000	-77.160000
8200000.000000	134.000000	8200000.000000	-77.190000
8300000.000000	132.300000	8300000.000000	-77.230000
8400000.000000	130.700000	8400000.000000	-77.260000
8500000.000000	129.100000	8500000.000000	-77.290000
8600000.000000	127.600000	8600000.000000	-77.320000
8700000.000000	126.100000	8700000.000000	-77.350000
8800000.000000	124.600000	8800000.000000	-77.390000
8900000.000000	123.200000	8900000.000000	-77.430000
9000000.000000	121.700000	9000000.000000	-77.470000
9100000.000000	120.300000	9100000.000000	-77.510000
9200000.000000	118.900000	9200000.000000	-77.540000
9300000.000000	117.400000	9300000.000000	-77.550000
9400000.000000	116.100000	9400000.000000	-77.550000
9500000.000000	114.800000	9500000.000000	-77.560000
9600000.000000	113.500000	9600000.000000	-77.560000
9700000.000000	112.200000	9700000.000000	-77.560000
9800000.000000	111.000000	9800000.000000	-77.570000
9900000.000000	109.760000	9900000.000000	-77.570000
1.000000E+7	108.570000	1.000000E+7	-77.580000
