F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2365.000000	100000.000000	-70.280000
200000.000000	1431.000000	200000.000000	-58.170000
300000.000000	1160.000000	300000.000000	-51.700000
400000.000000	848.300000	400000.000000	-58.180000
500000.000000	806.100000	500000.000000	-56.640000
600000.000000	763.900000	600000.000000	-56.460000
700000.000000	722.700000	700000.000000	-57.000000
800000.000000	696.400000	800000.000000	-57.160000
900000.000000	667.400000	900000.000000	-57.500000
1000000.000000	639.400000	1000000.000000	-58.690000
1100000.000000	614.400000	1100000.000000	-59.440000
1200000.000000	588.200000	1200000.000000	-60.740000
1300000.000000	563.200000	1300000.000000	-61.480000
1400000.000000	549.300000	1400000.000000	-61.250000
1500000.000000	527.100000	1500000.000000	-62.320000
1600000.000000	508.700000	1600000.000000	-63.260000
1700000.000000	494.000000	1700000.000000	-63.510000
1800000.000000	476.200000	1800000.000000	-64.420000
1900000.000000	461.100000	1900000.000000	-65.050000
2000000.000000	448.700000	2000000.000000	-65.150000
2100000.000000	454.700000	2100000.000000	-65.360000
2200000.000000	439.700000	2200000.000000	-66.010000
2300000.000000	424.600000	2300000.000000	-66.770000
2400000.000000	410.400000	2400000.000000	-67.460000
2500000.000000	397.600000	2500000.000000	-68.050000
2600000.000000	385.100000	2600000.000000	-68.690000
2700000.000000	374.300000	2700000.000000	-69.110000
2800000.000000	363.200000	2800000.000000	-69.670000
2900000.000000	352.900000	2900000.000000	-70.200000
3000000.000000	343.200000	3000000.000000	-70.750000
3100000.000000	332.900000	3100000.000000	-71.410000
3200000.000000	322.200000	3200000.000000	-71.810000
3300000.000000	312.700000	3300000.000000	-72.020000
3400000.000000	304.400000	3400000.000000	-72.220000
3500000.000000	296.800000	3500000.000000	-72.460000
3600000.000000	289.700000	3600000.000000	-72.720000
3700000.000000	282.900000	3700000.000000	-72.930000
3800000.000000	276.700000	3800000.000000	-73.060000
3900000.000000	270.200000	3900000.000000	-73.330000
4000000.000000	264.200000	4000000.000000	-73.540000
4100000.000000	258.400000	4100000.000000	-73.740000
4200000.000000	252.600000	4200000.000000	-73.970000
4300000.000000	247.200000	4300000.000000	-74.150000
4400000.000000	242.000000	4400000.000000	-74.320000
4500000.000000	237.100000	4500000.000000	-74.520000
4600000.000000	232.800000	4600000.000000	-74.580000
4700000.000000	228.100000	4700000.000000	-74.770000
4800000.000000	223.500000	4800000.000000	-74.940000
4900000.000000	219.500000	4900000.000000	-75.050000
5000000.000000	215.400000	5000000.000000	-75.190000
5100000.000000	211.100000	5100000.000000	-75.340000
5200000.000000	207.100000	5200000.000000	-75.490000
5300000.000000	203.600000	5300000.000000	-75.560000
5400000.000000	200.000000	5400000.000000	-75.650000
5500000.000000	196.600000	5500000.000000	-75.760000
5600000.000000	193.300000	5600000.000000	-75.870000
5700000.000000	189.800000	5700000.000000	-75.940000
5800000.000000	186.700000	5800000.000000	-76.050000
5900000.000000	183.700000	5900000.000000	-76.160000
6000000.000000	180.600000	6000000.000000	-76.230000
6100000.000000	177.800000	6100000.000000	-76.280000
6200000.000000	175.100000	6200000.000000	-76.390000
6300000.000000	173.900000	6300000.000000	-76.260000
6400000.000000	171.200000	6400000.000000	-76.350000
6500000.000000	168.600000	6500000.000000	-76.430000
6600000.000000	166.000000	6600000.000000	-76.500000
6700000.000000	163.600000	6700000.000000	-76.570000
6800000.000000	161.200000	6800000.000000	-76.630000
6900000.000000	158.800000	6900000.000000	-76.710000
7000000.000000	156.500000	7000000.000000	-76.780000
7100000.000000	154.300000	7100000.000000	-76.820000
7200000.000000	152.200000	7200000.000000	-76.900000
7300000.000000	150.600000	7300000.000000	-76.850000
7400000.000000	148.600000	7400000.000000	-76.900000
7500000.000000	146.600000	7500000.000000	-76.940000
7600000.000000	144.700000	7600000.000000	-76.980000
7700000.000000	142.800000	7700000.000000	-77.020000
7800000.000000	140.900000	7800000.000000	-77.060000
7900000.000000	139.100000	7900000.000000	-77.100000
8000000.000000	137.400000	8000000.000000	-77.130000
8100000.000000	135.600000	8100000.000000	-77.170000
8200000.000000	134.000000	8200000.000000	-77.200000
8300000.000000	132.300000	8300000.000000	-77.230000
8400000.000000	130.700000	8400000.000000	-77.260000
8500000.000000	129.100000	8500000.000000	-77.290000
8600000.000000	127.600000	8600000.000000	-77.320000
8700000.000000	126.100000	8700000.000000	-77.350000
8800000.000000	124.600000	8800000.000000	-77.390000
8900000.000000	123.200000	8900000.000000	-77.430000
9000000.000000	121.700000	9000000.000000	-77.470000
9100000.000000	120.300000	9100000.000000	-77.510000
9200000.000000	118.800000	9200000.000000	-77.540000
9300000.000000	117.400000	9300000.000000	-77.550000
9400000.000000	116.100000	9400000.000000	-77.560000
9500000.000000	114.800000	9500000.000000	-77.560000
9600000.000000	113.500000	9600000.000000	-77.560000
9700000.000000	112.200000	9700000.000000	-77.560000
9800000.000000	111.000000	9800000.000000	-77.570000
9900000.000000	109.750000	9900000.000000	-77.570000
1.000000E+7	108.560000	1.000000E+7	-77.580000
