F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2377.000000	100000.000000	-70.860000
200000.000000	1430.000000	200000.000000	-58.950000
300000.000000	1154.000000	300000.000000	-52.510000
400000.000000	845.700000	400000.000000	-57.860000
500000.000000	801.800000	500000.000000	-56.920000
600000.000000	756.300000	600000.000000	-56.610000
700000.000000	720.100000	700000.000000	-57.170000
800000.000000	688.000000	800000.000000	-57.550000
900000.000000	659.300000	900000.000000	-58.450000
1000000.000000	631.200000	1000000.000000	-59.350000
1100000.000000	604.700000	1100000.000000	-60.490000
1200000.000000	584.700000	1200000.000000	-60.710000
1300000.000000	561.900000	1300000.000000	-61.540000
1400000.000000	541.100000	1400000.000000	-62.480000
1500000.000000	520.900000	1500000.000000	-62.950000
1600000.000000	504.000000	1600000.000000	-63.800000
1700000.000000	487.300000	1700000.000000	-64.360000
1800000.000000	472.400000	1800000.000000	-64.930000
1900000.000000	458.200000	1900000.000000	-65.380000
2000000.000000	444.900000	2000000.000000	-65.920000
2100000.000000	445.800000	2100000.000000	-66.690000
2200000.000000	429.800000	2200000.000000	-67.520000
2300000.000000	415.200000	2300000.000000	-68.210000
2400000.000000	401.800000	2400000.000000	-68.810000
2500000.000000	389.200000	2500000.000000	-69.400000
2600000.000000	376.400000	2600000.000000	-70.120000
2700000.000000	365.500000	2700000.000000	-70.560000
2800000.000000	354.500000	2800000.000000	-71.170000
2900000.000000	344.100000	2900000.000000	-71.760000
3000000.000000	334.300000	3000000.000000	-72.330000
3100000.000000	324.500000	3100000.000000	-72.900000
3200000.000000	314.000000	3200000.000000	-73.380000
3300000.000000	305.000000	3300000.000000	-73.570000
3400000.000000	296.900000	3400000.000000	-73.800000
3500000.000000	289.400000	3500000.000000	-74.080000
3600000.000000	282.300000	3600000.000000	-74.340000
3700000.000000	275.100000	3700000.000000	-74.670000
3800000.000000	268.700000	3800000.000000	-74.910000
3900000.000000	262.600000	3900000.000000	-75.110000
4000000.000000	256.400000	4000000.000000	-75.390000
4100000.000000	250.200000	4100000.000000	-75.670000
4200000.000000	245.200000	4200000.000000	-75.810000
4300000.000000	239.700000	4300000.000000	-76.060000
4400000.000000	234.400000	4400000.000000	-76.300000
4500000.000000	229.500000	4500000.000000	-76.490000
4600000.000000	224.800000	4600000.000000	-76.680000
4700000.000000	220.400000	4700000.000000	-76.840000
4800000.000000	216.000000	4800000.000000	-77.010000
4900000.000000	211.500000	4900000.000000	-77.200000
5000000.000000	207.300000	5000000.000000	-77.380000
5100000.000000	203.500000	5100000.000000	-77.540000
5200000.000000	199.500000	5200000.000000	-77.680000
5300000.000000	195.900000	5300000.000000	-77.790000
5400000.000000	192.300000	5400000.000000	-77.960000
5500000.000000	188.600000	5500000.000000	-78.090000
5600000.000000	185.300000	5600000.000000	-78.220000
5700000.000000	181.800000	5700000.000000	-78.350000
5800000.000000	178.700000	5800000.000000	-78.430000
5900000.000000	175.800000	5900000.000000	-78.560000
6000000.000000	172.800000	6000000.000000	-78.620000
6100000.000000	169.900000	6100000.000000	-78.750000
6200000.000000	167.100000	6200000.000000	-78.820000
6300000.000000	165.800000	6300000.000000	-78.780000
6400000.000000	163.000000	6400000.000000	-78.880000
6500000.000000	160.400000	6500000.000000	-78.980000
6600000.000000	157.900000	6600000.000000	-79.050000
6700000.000000	155.400000	6700000.000000	-79.150000
6800000.000000	152.900000	6800000.000000	-79.250000
6900000.000000	150.600000	6900000.000000	-79.320000
7000000.000000	148.800000	7000000.000000	-79.330000
7100000.000000	146.600000	7100000.000000	-79.400000
7200000.000000	144.500000	7200000.000000	-79.470000
7300000.000000	142.400000	7300000.000000	-79.530000
7400000.000000	140.300000	7400000.000000	-79.590000
7500000.000000	138.300000	7500000.000000	-79.650000
7600000.000000	136.400000	7600000.000000	-79.710000
7700000.000000	134.500000	7700000.000000	-79.760000
7800000.000000	132.600000	7800000.000000	-79.810000
7900000.000000	130.800000	7900000.000000	-79.860000
8000000.000000	129.000000	8000000.000000	-79.910000
8100000.000000	127.300000	8100000.000000	-79.960000
8200000.000000	125.600000	8200000.000000	-80.000000
8300000.000000	124.000000	8300000.000000	-80.040000
8400000.000000	122.400000	8400000.000000	-80.080000
8500000.000000	120.800000	8500000.000000	-80.120000
8600000.000000	119.200000	8600000.000000	-80.150000
8700000.000000	117.700000	8700000.000000	-80.200000
8800000.000000	116.200000	8800000.000000	-80.230000
8900000.000000	114.800000	8900000.000000	-80.280000
9000000.000000	113.300000	9000000.000000	-80.320000
9100000.000000	111.900000	9100000.000000	-80.360000
9200000.000000	110.500000	9200000.000000	-80.400000
9300000.000000	109.070000	9300000.000000	-80.420000
9400000.000000	107.720000	9400000.000000	-80.440000
9500000.000000	106.400000	9500000.000000	-80.440000
9600000.000000	105.120000	9600000.000000	-80.450000
9700000.000000	103.850000	9700000.000000	-80.470000
9800000.000000	102.620000	9800000.000000	-80.480000
9900000.000000	101.400000	9900000.000000	-80.490000
1.000000E+7	100.200000	1.000000E+7	-80.500000
