F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2402.000000	100000.000000	-71.150000
200000.000000	1439.000000	200000.000000	-59.370000
300000.000000	1158.000000	300000.000000	-52.970000
400000.000000	853.200000	400000.000000	-58.550000
500000.000000	801.700000	500000.000000	-57.060000
600000.000000	759.800000	600000.000000	-56.620000
700000.000000	721.300000	700000.000000	-57.550000
800000.000000	689.900000	800000.000000	-57.890000
900000.000000	663.100000	900000.000000	-58.410000
1000000.000000	633.800000	1000000.000000	-59.160000
1100000.000000	610.400000	1100000.000000	-59.780000
1200000.000000	583.600000	1200000.000000	-61.300000
1300000.000000	564.200000	1300000.000000	-61.330000
1400000.000000	545.300000	1400000.000000	-61.830000
1500000.000000	528.700000	1500000.000000	-62.790000
1600000.000000	507.900000	1600000.000000	-63.640000
1700000.000000	488.100000	1700000.000000	-64.860000
1800000.000000	472.000000	1800000.000000	-65.170000
1900000.000000	456.100000	1900000.000000	-66.030000
2000000.000000	442.800000	2000000.000000	-66.250000
2100000.000000	447.200000	2100000.000000	-66.740000
2200000.000000	431.100000	2200000.000000	-67.540000
2300000.000000	415.700000	2300000.000000	-68.210000
2400000.000000	402.100000	2400000.000000	-68.860000
2500000.000000	389.100000	2500000.000000	-69.440000
2600000.000000	376.300000	2600000.000000	-70.170000
2700000.000000	365.600000	2700000.000000	-70.600000
2800000.000000	354.400000	2800000.000000	-71.260000
2900000.000000	344.300000	2900000.000000	-71.770000
3000000.000000	334.600000	3000000.000000	-72.340000
3100000.000000	325.000000	3100000.000000	-72.890000
3200000.000000	314.100000	3200000.000000	-73.390000
3300000.000000	305.100000	3300000.000000	-73.580000
3400000.000000	297.000000	3400000.000000	-73.820000
3500000.000000	289.500000	3500000.000000	-74.090000
3600000.000000	282.200000	3600000.000000	-74.390000
3700000.000000	275.300000	3700000.000000	-74.670000
3800000.000000	269.000000	3800000.000000	-74.860000
3900000.000000	262.300000	3900000.000000	-75.170000
4000000.000000	256.800000	4000000.000000	-75.380000
4100000.000000	250.400000	4100000.000000	-75.670000
4200000.000000	245.300000	4200000.000000	-75.850000
4300000.000000	239.600000	4300000.000000	-76.120000
4400000.000000	234.700000	4400000.000000	-76.290000
4500000.000000	229.600000	4500000.000000	-76.500000
4600000.000000	225.000000	4600000.000000	-76.670000
4700000.000000	220.500000	4700000.000000	-76.850000
4800000.000000	215.600000	4800000.000000	-77.080000
4900000.000000	211.700000	4900000.000000	-77.220000
5000000.000000	207.500000	5000000.000000	-77.380000
5100000.000000	203.600000	5100000.000000	-77.550000
5200000.000000	199.600000	5200000.000000	-77.690000
5300000.000000	196.000000	5300000.000000	-77.790000
5400000.000000	192.300000	5400000.000000	-77.980000
5500000.000000	188.700000	5500000.000000	-78.110000
5600000.000000	185.400000	5600000.000000	-78.230000
5700000.000000	182.000000	5700000.000000	-78.320000
5800000.000000	178.800000	5800000.000000	-78.450000
5900000.000000	175.700000	5900000.000000	-78.540000
6000000.000000	172.600000	6000000.000000	-78.690000
6100000.000000	169.900000	6100000.000000	-78.750000
6200000.000000	167.000000	6200000.000000	-78.860000
6300000.000000	165.700000	6300000.000000	-78.790000
6400000.000000	163.000000	6400000.000000	-78.880000
6500000.000000	160.500000	6500000.000000	-78.990000
6600000.000000	157.900000	6600000.000000	-79.070000
6700000.000000	155.500000	6700000.000000	-79.160000
6800000.000000	153.500000	6800000.000000	-79.190000
6900000.000000	151.100000	6900000.000000	-79.260000
7000000.000000	148.900000	7000000.000000	-79.340000
7100000.000000	146.700000	7100000.000000	-79.410000
7200000.000000	144.500000	7200000.000000	-79.480000
7300000.000000	142.400000	7300000.000000	-79.540000
7400000.000000	140.400000	7400000.000000	-79.600000
7500000.000000	138.400000	7500000.000000	-79.660000
7600000.000000	136.400000	7600000.000000	-79.710000
7700000.000000	134.500000	7700000.000000	-79.770000
7800000.000000	132.700000	7800000.000000	-79.820000
7900000.000000	130.900000	7900000.000000	-79.870000
8000000.000000	129.100000	8000000.000000	-79.920000
8100000.000000	127.400000	8100000.000000	-79.960000
8200000.000000	125.700000	8200000.000000	-80.000000
8300000.000000	124.000000	8300000.000000	-80.040000
8400000.000000	122.400000	8400000.000000	-80.090000
8500000.000000	120.800000	8500000.000000	-80.120000
8600000.000000	119.300000	8600000.000000	-80.160000
8700000.000000	117.700000	8700000.000000	-80.200000
8800000.000000	116.300000	8800000.000000	-80.240000
8900000.000000	114.800000	8900000.000000	-80.280000
9000000.000000	113.400000	9000000.000000	-80.320000
9100000.000000	111.900000	9100000.000000	-80.370000
9200000.000000	110.500000	9200000.000000	-80.400000
9300000.000000	109.120000	9300000.000000	-80.420000
9400000.000000	107.770000	9400000.000000	-80.440000
9500000.000000	106.450000	9500000.000000	-80.450000
9600000.000000	105.160000	9600000.000000	-80.460000
9700000.000000	103.900000	9700000.000000	-80.470000
9800000.000000	102.670000	9800000.000000	-80.480000
9900000.000000	101.440000	9900000.000000	-80.490000
1.000000E+7	100.240000	1.000000E+7	-80.510000
