F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2379.000000	100000.000000	-70.450000
200000.000000	1436.000000	200000.000000	-58.360000
300000.000000	1162.000000	300000.000000	-51.870000
400000.000000	849.500000	400000.000000	-58.240000
500000.000000	800.100000	500000.000000	-56.770000
600000.000000	764.500000	600000.000000	-56.390000
700000.000000	733.000000	700000.000000	-56.340000
800000.000000	696.100000	800000.000000	-57.510000
900000.000000	668.800000	900000.000000	-57.710000
1000000.000000	639.900000	1000000.000000	-58.710000
1100000.000000	612.500000	1100000.000000	-59.630000
1200000.000000	590.300000	1200000.000000	-60.120000
1300000.000000	571.400000	1300000.000000	-60.810000
1400000.000000	548.200000	1400000.000000	-62.320000
1500000.000000	528.200000	1500000.000000	-62.780000
1600000.000000	509.000000	1600000.000000	-63.270000
1700000.000000	492.400000	1700000.000000	-64.000000
1800000.000000	474.800000	1800000.000000	-64.580000
1900000.000000	461.300000	1900000.000000	-64.960000
2000000.000000	448.500000	2000000.000000	-65.220000
2100000.000000	454.600000	2100000.000000	-65.510000
2200000.000000	440.000000	2200000.000000	-66.060000
2300000.000000	423.900000	2300000.000000	-66.920000
2400000.000000	410.600000	2400000.000000	-67.500000
2500000.000000	397.400000	2500000.000000	-68.110000
2600000.000000	385.700000	2600000.000000	-68.580000
2700000.000000	374.500000	2700000.000000	-69.110000
2800000.000000	363.700000	2800000.000000	-69.660000
2900000.000000	353.200000	2900000.000000	-70.240000
3000000.000000	343.200000	3000000.000000	-70.820000
3100000.000000	333.300000	3100000.000000	-71.400000
3200000.000000	322.900000	3200000.000000	-71.780000
3300000.000000	313.000000	3300000.000000	-72.010000
3400000.000000	304.500000	3400000.000000	-72.240000
3500000.000000	297.400000	3500000.000000	-72.430000
3600000.000000	290.500000	3600000.000000	-72.580000
3700000.000000	283.500000	3700000.000000	-72.830000
3800000.000000	276.800000	3800000.000000	-73.070000
3900000.000000	270.100000	3900000.000000	-73.360000
4000000.000000	264.200000	4000000.000000	-73.550000
4100000.000000	258.500000	4100000.000000	-73.740000
4200000.000000	252.900000	4200000.000000	-73.930000
4300000.000000	247.800000	4300000.000000	-74.100000
4400000.000000	242.100000	4400000.000000	-74.320000
4500000.000000	237.700000	4500000.000000	-74.420000
4600000.000000	232.800000	4600000.000000	-74.590000
4700000.000000	228.200000	4700000.000000	-74.770000
4800000.000000	223.600000	4800000.000000	-74.940000
4900000.000000	219.500000	4900000.000000	-75.070000
5000000.000000	215.400000	5000000.000000	-75.200000
5100000.000000	211.100000	5100000.000000	-75.340000
5200000.000000	207.300000	5200000.000000	-75.470000
5300000.000000	203.600000	5300000.000000	-75.560000
5400000.000000	199.900000	5400000.000000	-75.700000
5500000.000000	196.500000	5500000.000000	-75.780000
5600000.000000	193.300000	5600000.000000	-75.860000
5700000.000000	190.100000	5700000.000000	-75.970000
5800000.000000	186.800000	5800000.000000	-76.050000
5900000.000000	183.500000	5900000.000000	-76.120000
6000000.000000	180.900000	6000000.000000	-76.220000
6100000.000000	177.900000	6100000.000000	-76.280000
6200000.000000	175.200000	6200000.000000	-76.380000
6300000.000000	174.000000	6300000.000000	-76.270000
6400000.000000	171.200000	6400000.000000	-76.360000
6500000.000000	168.600000	6500000.000000	-76.420000
6600000.000000	166.100000	6600000.000000	-76.490000
6700000.000000	163.600000	6700000.000000	-76.560000
6800000.000000	161.200000	6800000.000000	-76.620000
6900000.000000	158.800000	6900000.000000	-76.700000
7000000.000000	156.500000	7000000.000000	-76.770000
7100000.000000	154.400000	7100000.000000	-76.810000
7200000.000000	152.200000	7200000.000000	-76.860000
7300000.000000	150.200000	7300000.000000	-76.930000
7400000.000000	148.700000	7400000.000000	-76.890000
7500000.000000	146.700000	7500000.000000	-76.930000
7600000.000000	144.800000	7600000.000000	-76.980000
7700000.000000	142.900000	7700000.000000	-77.010000
7800000.000000	141.000000	7800000.000000	-77.050000
7900000.000000	139.200000	7900000.000000	-77.090000
8000000.000000	137.400000	8000000.000000	-77.120000
8100000.000000	135.700000	8100000.000000	-77.150000
8200000.000000	134.000000	8200000.000000	-77.180000
8300000.000000	132.300000	8300000.000000	-77.220000
8400000.000000	130.700000	8400000.000000	-77.250000
8500000.000000	129.200000	8500000.000000	-77.280000
8600000.000000	127.600000	8600000.000000	-77.310000
8700000.000000	126.100000	8700000.000000	-77.350000
8800000.000000	124.700000	8800000.000000	-77.380000
8900000.000000	123.200000	8900000.000000	-77.420000
9000000.000000	121.800000	9000000.000000	-77.470000
9100000.000000	120.300000	9100000.000000	-77.510000
9200000.000000	118.900000	9200000.000000	-77.540000
9300000.000000	117.500000	9300000.000000	-77.550000
9400000.000000	116.100000	9400000.000000	-77.550000
9500000.000000	114.800000	9500000.000000	-77.560000
9600000.000000	113.500000	9600000.000000	-77.560000
9700000.000000	112.200000	9700000.000000	-77.560000
9800000.000000	111.000000	9800000.000000	-77.570000
9900000.000000	109.780000	9900000.000000	-77.570000
1.000000E+7	108.590000	1.000000E+7	-77.580000
