F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2352.000000	100000.000000	-70.420000
200000.000000	1421.000000	200000.000000	-58.340000
300000.000000	1150.000000	300000.000000	-51.830000
400000.000000	843.500000	400000.000000	-58.000000
500000.000000	794.700000	500000.000000	-56.590000
600000.000000	756.700000	600000.000000	-56.970000
700000.000000	718.400000	700000.000000	-57.060000
800000.000000	692.200000	800000.000000	-56.770000
900000.000000	661.300000	900000.000000	-58.040000
1000000.000000	635.500000	1000000.000000	-58.720000
1100000.000000	611.400000	1100000.000000	-59.440000
1200000.000000	587.400000	1200000.000000	-60.150000
1300000.000000	561.600000	1300000.000000	-61.400000
1400000.000000	544.100000	1400000.000000	-62.070000
1500000.000000	524.100000	1500000.000000	-62.830000
1600000.000000	507.500000	1600000.000000	-63.290000
1700000.000000	493.100000	1700000.000000	-63.700000
1800000.000000	475.300000	1800000.000000	-64.350000
1900000.000000	461.600000	1900000.000000	-64.860000
2000000.000000	446.300000	2000000.000000	-65.630000
2100000.000000	451.700000	2100000.000000	-65.890000
2200000.000000	436.800000	2200000.000000	-66.540000
2300000.000000	422.000000	2300000.000000	-67.290000
2400000.000000	408.100000	2400000.000000	-67.980000
2500000.000000	394.600000	2500000.000000	-68.670000
2600000.000000	383.200000	2600000.000000	-69.160000
2700000.000000	371.400000	2700000.000000	-69.760000
2800000.000000	360.600000	2800000.000000	-70.300000
2900000.000000	350.100000	2900000.000000	-70.880000
3000000.000000	340.100000	3000000.000000	-71.490000
3100000.000000	330.300000	3100000.000000	-72.010000
3200000.000000	320.600000	3200000.000000	-72.380000
3300000.000000	311.200000	3300000.000000	-72.630000
3400000.000000	303.000000	3400000.000000	-72.890000
3500000.000000	295.400000	3500000.000000	-73.160000
3600000.000000	288.100000	3600000.000000	-73.430000
3700000.000000	281.100000	3700000.000000	-73.690000
3800000.000000	274.200000	3800000.000000	-74.010000
3900000.000000	267.800000	3900000.000000	-74.250000
4000000.000000	261.800000	4000000.000000	-74.480000
4100000.000000	255.800000	4100000.000000	-74.710000
4200000.000000	250.200000	4200000.000000	-74.910000
4300000.000000	244.800000	4300000.000000	-75.150000
4400000.000000	239.600000	4400000.000000	-75.320000
4500000.000000	234.700000	4500000.000000	-75.510000
4600000.000000	230.000000	4600000.000000	-75.680000
4700000.000000	225.500000	4700000.000000	-75.820000
4800000.000000	220.800000	4800000.000000	-76.010000
4900000.000000	216.500000	4900000.000000	-76.180000
5000000.000000	212.300000	5000000.000000	-76.340000
5100000.000000	208.400000	5100000.000000	-76.490000
5200000.000000	204.400000	5200000.000000	-76.620000
5300000.000000	200.800000	5300000.000000	-76.710000
5400000.000000	196.900000	5400000.000000	-76.880000
5500000.000000	193.300000	5500000.000000	-77.000000
5600000.000000	190.100000	5600000.000000	-77.120000
5700000.000000	186.800000	5700000.000000	-77.220000
5800000.000000	183.400000	5800000.000000	-77.350000
5900000.000000	180.300000	5900000.000000	-77.410000
6000000.000000	177.500000	6000000.000000	-77.490000
6100000.000000	174.600000	6100000.000000	-77.620000
6200000.000000	171.600000	6200000.000000	-77.660000
6300000.000000	170.400000	6300000.000000	-77.620000
6400000.000000	167.700000	6400000.000000	-77.690000
6500000.000000	165.100000	6500000.000000	-77.780000
6600000.000000	162.400000	6600000.000000	-77.870000
6700000.000000	160.000000	6700000.000000	-77.950000
6800000.000000	157.500000	6800000.000000	-78.030000
6900000.000000	155.200000	6900000.000000	-78.090000
7000000.000000	153.000000	7000000.000000	-78.170000
7100000.000000	150.600000	7100000.000000	-78.220000
7200000.000000	149.000000	7200000.000000	-78.210000
7300000.000000	146.900000	7300000.000000	-78.260000
7400000.000000	144.800000	7400000.000000	-78.320000
7500000.000000	142.800000	7500000.000000	-78.370000
7600000.000000	140.800000	7600000.000000	-78.410000
7700000.000000	138.900000	7700000.000000	-78.460000
7800000.000000	137.000000	7800000.000000	-78.500000
7900000.000000	135.200000	7900000.000000	-78.540000
8000000.000000	133.400000	8000000.000000	-78.580000
8100000.000000	131.700000	8100000.000000	-78.620000
8200000.000000	130.000000	8200000.000000	-78.650000
8300000.000000	128.300000	8300000.000000	-78.680000
8400000.000000	126.700000	8400000.000000	-78.710000
8500000.000000	125.100000	8500000.000000	-78.740000
8600000.000000	123.500000	8600000.000000	-78.770000
8700000.000000	122.000000	8700000.000000	-78.810000
8800000.000000	120.500000	8800000.000000	-78.840000
8900000.000000	119.000000	8900000.000000	-78.870000
9000000.000000	117.600000	9000000.000000	-78.910000
9100000.000000	116.100000	9100000.000000	-78.950000
9200000.000000	114.700000	9200000.000000	-78.980000
9300000.000000	113.300000	9300000.000000	-78.990000
9400000.000000	111.900000	9400000.000000	-78.990000
9500000.000000	110.600000	9500000.000000	-78.990000
9600000.000000	109.270000	9600000.000000	-78.990000
9700000.000000	108.000000	9700000.000000	-79.000000
9800000.000000	106.750000	9800000.000000	-79.000000
9900000.000000	105.530000	9900000.000000	-79.000000
1.000000E+7	104.320000	1.000000E+7	-79.000000
